Key,EN,KU,,,
about_title,About Me,دەربارەی من,,,
about_caption,"Hawkar Ali Abdulhaq – PhD Candidate, Founder & Entrepreneur",هاوکار عەلی عەبدولحەق - کاندیدی پەیەنجین، دامەزرێنەر و کاروباری,,,
about_overview,I am a PhD candidate and green entrepreneur committed to pioneering sustainable energy solutions and driving climate resilience. My journey bridges academic research with impactful projects...,من کاندیدی پەیەنجین و کاروباری سەوزم کە بەرز دەبم لە چارەسەرە ڕەواسانەی هێزی پایەدار و بەرپرسکەریەکی گەرمی...,,,
about_early_career_title,Early Career and Education,پەیوەندی سەرەتایی و پەروەردە,,,
about_early_career_content,"My professional journey began in 2011 as a geologist in the Kurdistan Region of Iraq. In 2015, I transitioned to Hungary to study Earth Science Engineering at the University of Miskolc...",سەفەری پەروەردەیەکەم لە ٢٠١١ بەسەرکردەوە بەوانەی زەوی ناس لە هەرێم کوردستانی عێراق...,,,
about_hasar_title,Founding Hasar Organization and PhD Studies,دامەزراندنی ڕێکخراوی هاسار و پەیوەندی پەیەنجین,,, 
about_hasar_content,"In 2019, I founded Hasar Organization, Iraq's first climate-focused organization dedicated to carbon removal through nature-based solutions...",لە ٢٠١٩، دامەزرێنم ڕێکخراوی هاسارە کەیەوەکانی عێراق بەرز دەبێت بەرز بەرزبوونی کەربۆنەکان...,,,
about_research_title,Research and Publications,لێکۆلینەوە و بڵاوکردنەوەکان,,,
about_research_content,"My research spans geothermal energy, geology, and climate change, with a significant focus on mineral exploration. My Google Scholar profile provides a comprehensive list of my work...",لێکۆلینەوەکانم بەردەستە لەسەر ئەنەرژیە گەرمییەکان، زەوی ناس، و گۆڕینی گەرمی کە زۆرتر بەرز دەبێت بەرزبوونی معدنەکان...,,,
about_publication_1,"Harnessing Geothermal Energy in Hungary - Szanyi, J., Kovács, B., and Abdulhaq, H.A., 2025","چاوپێچکردنی ئەنەرژی گەرمییەکان لە مەجر - Szanyi, J., Kovács, B., and Abdulhaq, H.A., ٢٠٢٥",,,
about_publication_2,"Transforming Abandoned Hydrocarbon Fields into Heat Storage Solutions - Abdulhaq, H.A., Geiger, J., Vass, I., et al., 2024","گۆڕینی ناوچە گازەکان بەرز دەبێت بەرزبوونی حەزو لە ئەرنرژی گەرمی - Abdulhaq, H.A., Geiger, J., Vass, I., et al., ٢٠٢٤",,,
about_publication_3,"Geothermal Energy and Its Potential for Critical Metal Extraction - Szanyi, J., Rybach, L., and Abdulhaq, H.A., 2023","ئەنەرژی گەرمییەکان و توانایەکان بەرز دەبێت بەرزبوونی معدنەکان - Szanyi, J., Rybach, L., and Abdulhaq, H.A., ٢٠٢٣",,,
about_coding_title,A Passion for Coding and Innovation,هێڵی بەرزبوونی کۆدینگ و نوژینەوەکان,,,
about_coding_content,"Coding has become integral to my research, allowing for advanced data analysis and supporting sustainable solutions...",کۆدینگ بەشێک بەرز دەبێت بەرزبوونی پرۆژەکانم، بە ڕێبەرەتی زانیاری تاقیکردنەوەیەکی بەرز بەرز دەبێت بەرزبوونی پەیوەندیدان...,,,
about_ventures_title,Entrepreneurial Ventures,کاروبارەکانی نوێکردنەوە,,,
about_ventures_content,"Beyond academia, I co-founded Releafs.co and Gridx. Recently, I launched a Python programming and automation course...",دوورتر لە ئاکادیمیا، من هاوپەیمانم Releafs.co و Gridx. کۆرسی کۆدینگ و خۆکارکردن زانیاری تایبەتی بەرز دەبێت بەرزبوونی...,,,
about_call_to_action,"Through my work, I aim to bridge research and practical applications, providing insights and inspiring actionable solutions for a resilient future.",بە بەرهەمی کارەکانم، ئەوە بەرز دەبێت بەرزبوونی تاقیکردنەوەکان و چارەکان، زانیاری زیاتر بەرز دەبێت بەرزبوونی.,,,